Unnamed: 0,time,title,Tuples,s,p,o,sp,po,spo,open price change,close price change
0,20070102 07:51 AM EST,India's Jet Airways buys 10 Boeing 787 aircraft,"('India', 'has', 'Jet Airways')",India,has,Jet Airways,India has,has Jet Airways,India has Jet Airways,-0.34999799999999937,0.33000199999999325
1,20070104 06:00 PM EST,"Boeing ends best-ever year with 1,044 plane orders","('Boeing', 'ends at_time', 'best ever year')",Boeing,ends at_time,best ever year,Boeing ends at_time,ends at_time best ever year,Boeing ends at_time best ever year,-0.5600060000000013,0.3600010000000111
2,20070104 12:56 PM EST,"Boeing ends best-ever year with 1,044 plane orders","('Boeing', 'ends at_time', 'best ever year')",Boeing,ends at_time,best ever year,Boeing ends at_time,ends at_time best ever year,Boeing ends at_time best ever year,-0.5600060000000013,0.3600010000000111
4,20070108 12:43 PM EST,"Airbus, Boeing clinch $8 billion in deals","('Airbus', 'clinch', '$ 8 billion')",Airbus,clinch,$ 8 billion,Airbus clinch,clinch $ 8 billion,Airbus clinch $ 8 billion,-1.1699980000000068,-0.20999999999999375
5,20070109 05:51 PM EST,Boeing wins $470 million Apache helicopter order,"('Boeing', 'wins', '$ 470 million Apache helicopter order')",Boeing,wins,$ 470 million Apache helicopter order,Boeing wins,wins $ 470 million Apache helicopter order,Boeing wins $ 470 million Apache helicopter order,0.3199990000000099,-0.9400020000000069
7,20070116 11:57 AM EST,Ford hires former Boeing exec as labor consultant,"('Ford', 'hires', 'former Boeing exec')",Ford,hires,former Boeing exec,Ford hires,hires former Boeing exec,Ford hires former Boeing exec,-0.29000100000000373,-0.12999700000000303
9,20070116 04:51 AM EST,EU approves Boeing's purchase of Italian C-Map,"('EU', 'approves', ""Boeing 's purchase"")",EU,approves,Boeing 's purchase,EU approves,approves Boeing 's purchase,EU approves Boeing 's purchase,-0.29000100000000373,-0.12999700000000303
10,20070117 08:32 AM EST,"Airbus says 790 plane orders in '06, trails Boeing","('Airbus', 'says', '790 plane orders')",Airbus,says,790 plane orders,Airbus says,says 790 plane orders,Airbus says 790 plane orders,-0.2300029999999964,0.8300020000000075
11,20070117 07:54 AM EST,FACTBOX-Airbus loses annual plane orders battle to Boeing,"('Airbus', 'loses', 'plane orders battle')",Airbus,loses,plane orders battle,Airbus loses,loses plane orders battle,Airbus loses plane orders battle,-0.2300029999999964,0.8300020000000075
12,20070117 04:58 AM EST,Airbus confirms lost 2006 order race to Boeing,"('Airbus', 'confirms', '2006 order race to Boeing')",Airbus,confirms,2006 order race to Boeing,Airbus confirms,confirms 2006 order race to Boeing,Airbus confirms 2006 order race to Boeing,-0.2300029999999964,0.8300020000000075
15,20070122 05:59 PM EST,Boeing sells 39 planes to GE unit for $5.3 billion,"('Boeing', 'sells', '39 planes')",Boeing,sells,39 planes,Boeing sells,sells 39 planes,Boeing sells 39 planes,-0.9399949999999961,-3.0299990000000037
16,20070122 05:57 PM EST,"US STOCKS-Indexes fall on tech view, Boeing;Texas Instruments up","('US STOCKS Indexes', 'fall on', 'tech view')",US STOCKS Indexes,fall on,tech view,US STOCKS Indexes fall on,fall on tech view,US STOCKS Indexes fall on tech view,-0.9399949999999961,-3.0299990000000037
18,20070122 04:06 PM EST,"US STOCKS-Indexes end lower on tech outlook, Boeing","('US STOCKS Indexes', 'end lower on', 'tech outlook')",US STOCKS Indexes,end lower on,tech outlook,US STOCKS Indexes end lower on,end lower on tech outlook,US STOCKS Indexes end lower on tech outlook,-0.9399949999999961,-3.0299990000000037
22,20070122 12:28 PM EST,Boeing sells 39 planes to GE unit for $5.3 billion,"('Boeing', 'sells', '39 planes')",Boeing,sells,39 planes,Boeing sells,sells 39 planes,Boeing sells 39 planes,-0.9399949999999961,-3.0299990000000037
26,20070122 09:42 AM EST,"US STOCKS-Indexes flat as Citi gains, Boeing falls","('US STOCKS Indexes', 'flat as', 'Citi gains')",US STOCKS Indexes,flat as,Citi gains,US STOCKS Indexes flat as,flat as Citi gains,US STOCKS Indexes flat as Citi gains,-0.9399949999999961,-3.0299990000000037
27,20070122 06:06 AM EST,Lockheed Martin and Boeing form strategic alliance to promote next-generation air transportation system,"('Boeing', 'form', 'alliance')",Boeing,form,alliance,Boeing form,form alliance,Boeing form alliance,-0.9399949999999961,-3.0299990000000037
28,20070122 05:08 AM EST,Boeing and GE Commercial Aviation Services announce order for 39 airplanes,"('GE Commercial Aviation Services', 'announce', 'order for 39 airplanes')",GE Commercial Aviation Services,announce,order for 39 airplanes,GE Commercial Aviation Services announce,announce order for 39 airplanes,GE Commercial Aviation Services announce order for 39 airplanes,-0.9399949999999961,-3.0299990000000037
29,20070123 12:58 AM EST,Boeing sells 39 planes to GE unit for $5.3 billion,"('Boeing', 'sells', '39 planes')",Boeing,sells,39 planes,Boeing sells,sells 39 planes,Boeing sells 39 planes,-2.5,1.7600029999999975
30,20070125 07:53 AM EST,Boeing ends Dreamliner wireless network,"('Boeing', 'ends', 'Dreamliner network')",Boeing,ends,Dreamliner network,Boeing ends,ends Dreamliner network,Boeing ends Dreamliner network,-0.04999499999999557,-1.4399939999999987
31,20070129 06:44 PM EST,"Lockheed, Boeing built failed spy satellite, sources say","('Boeing', 'built', 'failed spy satellite')",Boeing,built,failed spy satellite,Boeing built,built failed spy satellite,Boeing built failed spy satellite,-0.9499969999999962,0.06999999999999318
32,20070130 06:23 AM EST,"Lockheed, Boeing built failed spy satellite, sources say","('Boeing', 'built', 'failed spy satellite')",Boeing,built,failed spy satellite,Boeing built,built failed spy satellite,Boeing built failed spy satellite,0.6999969999999962,0.5
36,20070131 04:37 PM EST,Boeing steps up efforts to keep 787 launch on time,"('efforts', 'keep', '787 launch')",efforts,keep,787 launch,efforts keep,keep 787 launch,efforts keep 787 launch,3.550003000000004,3.559997999999993
38,20070131 12:07 PM EST,"US STOCKS-Blue chips rise after Boeing, markets await Fed","('markets', 'await', 'Fed')",markets,await,Fed,markets await,await Fed,markets await Fed,3.550003000000004,3.559997999999993
40,20070131 09:40 AM EST,"US STOCKS-Boeing leads Dow higher, eyes on Fed","('US STOCKS Boeing', 'leads', 'Dow higher')",US STOCKS Boeing,leads,Dow higher,US STOCKS Boeing leads,leads Dow higher,US STOCKS Boeing leads Dow higher,3.550003000000004,3.559997999999993
42,20070131 07:51 AM EST,Boeing jumps as profit beats views,"('profit', 'beats', 'views')",profit,beats,views,profit beats,beats views,profit beats views,3.550003000000004,3.559997999999993
44,20070201 04:07 PM EST,Canada to unveil big Boeing deal Friday - reports,"('Canada', 'unveil Boeing deal at_time', 'Friday reports')",Canada,unveil Boeing deal at_time,Friday reports,Canada unveil Boeing deal at_time,unveil Boeing deal at_time Friday reports,Canada unveil Boeing deal at_time Friday reports,0.6499939999999924,1.4900050000000107
46,20070202 01:55 PM EST,Canada signs C$3.4 billion plane deal with Boeing,"('Canada signs C$ 3.4 billion plane deal', 'is with', 'Boeing')",Canada signs C$ 3.4 billion plane deal,is with,Boeing,Canada signs C$ 3.4 billion plane deal is with,is with Boeing,Canada signs C$ 3.4 billion plane deal is with Boeing,1.1000060000000076,-1.0
51,20070205 03:00 AM EST,UPS places order for 27 Boeing freighters,"('UPS', 'places', 'order')",UPS,places,order,UPS places,places order,UPS places order,-0.6000060000000076,0.6699979999999925
54,20070206 09:16 AM EST,Azerbaijan to buy 5 Boeing planes for $401 mln,"('Azerbaijan', 'buy', '5 Boeing planes')",Azerbaijan,buy,5 Boeing planes,Azerbaijan buy,buy 5 Boeing planes,Azerbaijan buy 5 Boeing planes,0.5500030000000038,0.26000200000000007
56,20070207 09:14 PM EST,"Boeing says 787 rollout on schedule, tips good year","('787 rollout', 'tips at_time', 'good year')",787 rollout,tips at_time,good year,787 rollout tips at_time,tips at_time good year,787 rollout tips at_time good year,-0.4100040000000007,-0.630004999999997
57,20070207 06:27 PM EST,Boeing says on track to deliver 787 in late 2008,"('Boeing', 'says on', 'track')",Boeing,says on,track,Boeing says on,says on track,Boeing says on track,-0.4100040000000007,-0.630004999999997
58,20070208 07:17 AM EST,"US Airways says in talks with Boeing, Airbus on order","('US Airways', 'says on', 'order')",US Airways,says on,order,US Airways says on,says on order,US Airways says on order,-0.9499969999999962,-0.8300009999999958
59,20070208 05:15 AM EST,UPDATE 1-India's Larsen signs agreement with Boeing,"('1 India', 'has', 'Larsen signs agreement with Boeing')",1 India,has,Larsen signs agreement with Boeing,1 India has,has Larsen signs agreement with Boeing,1 India has Larsen signs agreement with Boeing,-0.9499969999999962,-0.8300009999999958
60,20070208 04:55 AM EST,"Boeing says 787 rollout on schedule, tips good year","('787 rollout', 'tips at_time', 'good year')",787 rollout,tips at_time,good year,787 rollout tips at_time,tips at_time good year,787 rollout tips at_time good year,-0.9499969999999962,-0.8300009999999958
61,20070208 04:24 AM EST,India's L&T; says signs MoU with Boeing,"('signs MoU', 'is with', 'Boeing')",signs MoU,is with,Boeing,signs MoU is with,is with Boeing,signs MoU is with Boeing,-0.9499969999999962,-0.8300009999999958
62,20070209 08:55 AM EST,Boeing hopes to sell 12 Chinook helicopters to India,"('Boeing', 'sell', '12 Chinook helicopters')",Boeing,sell,12 Chinook helicopters,Boeing sell,sell 12 Chinook helicopters,Boeing sell 12 Chinook helicopters,-0.29000100000000373,0.4800029999999964
63,20070212 05:24 PM EST,UPDATE 2-Boeing will offer KC-767 tanker to US Air Force,"('UPDATE 2 Boeing', 'will offer KC 767 tanker to', 'US Air Force')",UPDATE 2 Boeing,will offer KC 767 tanker to,US Air Force,UPDATE 2 Boeing will offer KC 767 tanker to,will offer KC 767 tanker to US Air Force,UPDATE 2 Boeing will offer KC 767 tanker to US Air Force,0.20000500000000443,-0.8000030000000038
64,20070212 01:14 PM EST,Boeing to offer KC-767 for U.S. Air Force tanker contract,"('Boeing', 'offer', 'KC 767 for U.S. Air Force tanker contract')",Boeing,offer,KC 767 for U.S. Air Force tanker contract,Boeing offer,offer KC 767 for U.S. Air Force tanker contract,Boeing offer KC 767 for U.S. Air Force tanker contract,0.20000500000000443,-0.8000030000000038
65,20070214 09:09 AM EST,"Kuwait considers Boeing, Airbus order -source","('Kuwait', 'considers', 'Airbus order source')",Kuwait,considers,Airbus order source,Kuwait considers,considers Airbus order source,Kuwait considers Airbus order source,0.07000000000000739,0.6500010000000032
66,20070214 06:42 AM EST,Airbus aims to catch up Boeing in China by 2011,"('Airbus', 'catch up Boeing in', 'China')",Airbus,catch up Boeing in,China,Airbus catch up Boeing in,catch up Boeing in China,Airbus catch up Boeing in China,0.07000000000000739,0.6500010000000032
69,20070215 05:51 PM EST,"Dow ends at record, lifted by Caterpillar, Boeing","('Dow', 'ends at', 'record')",Dow,ends at,record,Dow ends at,ends at record,Dow ends at record,0.75,1.7699969999999894
70,20070215 04:32 PM EST,"US STOCKS-Dow ends at record, lifted by Boeing, Caterpillar","('US STOCKS Dow', 'ends at', 'record')",US STOCKS Dow,ends at,record,US STOCKS Dow ends at,ends at record,US STOCKS Dow ends at record,0.75,1.7699969999999894
71,20070215 04:06 PM EST,"US STOCKS-Dow ends at record as Boeing, Caterpillar rise","('US STOCKS Dow', 'ends Caterpillar rise as', 'Boeing')",US STOCKS Dow,ends Caterpillar rise as,Boeing,US STOCKS Dow ends Caterpillar rise as,ends Caterpillar rise as Boeing,US STOCKS Dow ends Caterpillar rise as Boeing,0.75,1.7699969999999894
74,20070215 01:48 PM EST,Boeing confirms UPS order for 27 planes,"('Boeing', 'confirms', 'UPS order for 27 planes')",Boeing,confirms,UPS order for 27 planes,Boeing confirms,confirms UPS order for 27 planes,Boeing confirms UPS order for 27 planes,0.75,1.7699969999999894
76,20070216 12:17 PM EST,Royal Air Maroc acquires new Boeing aircraft,"('Royal Air Maroc', 'acquires', 'new Boeing aircraft')",Royal Air Maroc,acquires,new Boeing aircraft,Royal Air Maroc acquires,acquires new Boeing aircraft,Royal Air Maroc acquires new Boeing aircraft,1.9600059999999928,-0.7699969999999894
78,20070216 04:06 AM EST,Boeing to revive commercial satellite business: WSJ,"('Boeing', 'revive', 'satellite business')",Boeing,revive,satellite business,Boeing revive,revive satellite business,Boeing revive satellite business,1.9600059999999928,-0.7699969999999894
79,20070216 03:07 AM EST,Boeing confirms UPS order for 27 planes,"('Boeing', 'confirms', 'UPS order for 27 planes')",Boeing,confirms,UPS order for 27 planes,Boeing confirms,confirms UPS order for 27 planes,Boeing confirms UPS order for 27 planes,1.9600059999999928,-0.7699969999999894
82,20070219 01:15 AM EST,Boeing to revive commercial satellite business -WSJ,"('Boeing', 'revive', 'satellite business WSJ')",Boeing,revive,satellite business WSJ,Boeing revive,revive satellite business WSJ,Boeing revive satellite business WSJ,-0.4800029999999964,0.08999699999999677
83,20070221 08:39 AM EST,British Airways chooses Boeing 777s over Airbus,"('British Airways', 'chooses', 'Boeing 777s')",British Airways,chooses,Boeing 777s,British Airways chooses,chooses Boeing 777s,British Airways chooses Boeing 777s,-1.1999969999999962,-0.07000000000000739
87,20070222 01:14 AM EST,British Airways chooses Boeing 777s over Airbus,"('British Airways', 'chooses', 'Boeing 777s')",British Airways,chooses,Boeing 777s,British Airways chooses,chooses Boeing 777s,British Airways chooses Boeing 777s,0.7999949999999956,-0.3799969999999888
88,20070223 12:12 PM EST,Boeing says Azerbaijan Airlines orders 5 planes,"('Boeing', 'says', 'Azerbaijan Airlines orders')",Boeing,says,Azerbaijan Airlines orders,Boeing says,says Azerbaijan Airlines orders,Boeing says Azerbaijan Airlines orders,-0.8899990000000031,-0.3000030000000038
89,20070223 04:44 AM EST,Indonesia VP urges Boeing 737-300 scrutiny after accident,"('Indonesia VP', 'urges', 'Boeing 737 300 scrutiny')",Indonesia VP,urges,Boeing 737 300 scrutiny,Indonesia VP urges,urges Boeing 737 300 scrutiny,Indonesia VP urges Boeing 737 300 scrutiny,-0.8899990000000031,-0.3000030000000038
90,20070223 04:19 AM EST,Boeing says Azerbaijan Airlines orders 5 planes,"('Boeing', 'says', 'Azerbaijan Airlines orders')",Boeing,says,Azerbaijan Airlines orders,Boeing says,says Azerbaijan Airlines orders,Boeing says Azerbaijan Airlines orders,-0.8899990000000031,-0.3000030000000038
91,20070226 05:59 PM EST,Bell-Boeing V22s flying again after chip issue,"('Bell Boeing V22s', 'flying again after', 'chip issue')",Bell Boeing V22s,flying again after,chip issue,Bell Boeing V22s flying again after,flying again after chip issue,Bell Boeing V22s flying again after chip issue,0.27000400000000013,-1.3499989999999968
92,20070226 02:25 PM EST,U.S. sustains protest of $15 bln Boeing deal,"('U.S.', 'sustains', 'protest of 15 bln Boeing deal')",U.S.,sustains,protest of 15 bln Boeing deal,U.S. sustains,sustains protest of 15 bln Boeing deal,U.S. sustains protest of 15 bln Boeing deal,0.27000400000000013,-1.3499989999999968
93,20070226 02:12 PM EST,U.S. sustains protest of $15 bln Boeing deal,"('U.S.', 'sustains', 'protest of 15 bln Boeing deal')",U.S.,sustains,protest of 15 bln Boeing deal,U.S. sustains,sustains protest of 15 bln Boeing deal,U.S. sustains protest of 15 bln Boeing deal,0.27000400000000013,-1.3499989999999968
94,20070226 10:01 AM EST,U.S. to rule on protest of $15 billion Boeing deal,"('U.S.', 'rule on', 'protest')",U.S.,rule on,protest,U.S. rule on,rule on protest,U.S. rule on protest,0.27000400000000013,-1.3499989999999968
96,20070227 03:05 AM EST,Kenexa wins Boeing contract for global employee survey services,"('Kenexa', 'wins', 'Boeing contract')",Kenexa,wins,Boeing contract,Kenexa wins,wins Boeing contract,Kenexa wins Boeing contract,-2.4800029999999964,-1.7300030000000106
98,20070228 02:21 AM EST,"UPDATE 1-RESEARCH ALERT-JP Morgan cuts Lockheed; ups Boeing, L-3","('UPDATE RESEARCH ALERT JP Morgan', 'cuts', 'Lockheed')",UPDATE RESEARCH ALERT JP Morgan,cuts,Lockheed,UPDATE RESEARCH ALERT JP Morgan cuts,cuts Lockheed,UPDATE RESEARCH ALERT JP Morgan cuts Lockheed,-0.5999979999999994,0.06000500000000386
