Unnamed: 0,time,title,Tuples,s,p,o,sp,po,spo,open price change,close price change
0,20070103 04:07 PM EST,Google's biggest bull sets $630 share price target,"('Google', 'has', 'biggest bull sets')",Google,has,biggest bull sets,Google has,has biggest bull sets,Google has biggest bull sets,1.9427179999999566,3.5417170000000056
1,20070103 09:18 AM EST,UPDATE 1-RESEARCH ALERT-Stifel places Google on select list,"('select list', 'on places is', 'Google')",select list,on places is,Google,select list on places is,on places is Google,select list on places is Google,1.9427179999999566,3.5417170000000056
2,20070104 06:00 PM EST,Google says bought stake in China's Xunlei,"('Google', 'says', ""bought stake in China 's Xunlei"")",Google,says,bought stake in China 's Xunlei,Google says,says bought stake in China 's Xunlei,Google says bought stake in China 's Xunlei,1.494400000000013,7.805741000000012
3,20070104 04:19 PM EST,Google says bought stake in China's Xunlei,"('Google', 'says', ""bought stake in China 's Xunlei"")",Google,says,bought stake in China 's Xunlei,Google says,says bought stake in China 's Xunlei,Google says bought stake in China 's Xunlei,1.494400000000013,7.805741000000012
4,20070104 03:48 AM EST,"Google, China Mobile cooperate on search services","('Google', 'cooperate on', 'search services')",Google,cooperate on,search services,Google cooperate on,cooperate on search services,Google cooperate on search services,1.494400000000013,7.805741000000012
5,20070105 01:31 AM EST,Google says bought stake in China's Xunlei,"('Google', 'says', ""bought stake in China 's Xunlei"")",Google,says,bought stake in China 's Xunlei,Google says,says bought stake in China 's Xunlei,Google says bought stake in China 's Xunlei,6.724793000000005,1.9576570000000402
6,20070108 05:08 PM EST,Google tops Fortune list of best U.S. places to work,"('Google', 'tops', 'Fortune list of best U.S. places')",Google,tops,Fortune list of best U.S. places,Google tops,tops Fortune list of best U.S. places,Google tops Fortune list of best U.S. places,2.585312000000016,-1.7982490000000269
7,20070108 02:25 PM EST,Google tops Fortune list of best places to work,"('Google', 'tops', 'Fortune list of places')",Google,tops,Fortune list of places,Google tops,tops Fortune list of places,Google tops Fortune list of places,2.585312000000016,-1.7982490000000269
8,20070110 03:50 PM EST,Google book search adds five Catalonian libraries,"('Google book search', 'adds', 'five Catalonian libraries')",Google book search,adds,five Catalonian libraries,Google book search adds,adds five Catalonian libraries,Google book search adds five Catalonian libraries,-0.5080879999999866,1.972610000000003
9,20070115 06:59 PM EST,"Google, Yahoo gain share in U.S. Web search market","('Yahoo gain share', 'is in', 'U.S. Web search market')",Yahoo gain share,is in,U.S. Web search market,Yahoo gain share is in,is in U.S. Web search market,Yahoo gain share is in U.S. Web search market,2.7696229999999957,-0.3586569999999938
