Unnamed: 0,time,title,Tuples,s,p,o,sp,po,spo,open price change,close price change
0,20070102 06:00 PM EST,Starbucks cuts trans fats in half of U.S. stores,"('Starbucks', 'cuts trans fats in', 'half')",Starbucks,cuts trans fats in,half,Starbucks cuts trans fats in,cuts trans fats in half,Starbucks cuts trans fats in half,-0.04499999999999815,-0.08499899999999982
1,20070103 01:54 AM EST,Starbucks cuts trans fats in half of U.S. stores,"('Starbucks', 'cuts trans fats in', 'half')",Starbucks,cuts trans fats in,half,Starbucks cuts trans fats in,cuts trans fats in half,Starbucks cuts trans fats in half,-0.04499999999999815,-0.08499899999999982
3,20070116 04:01 PM EST,Starbucks plans switch to growth-hormone-free milk,"('Starbucks', 'plans', 'switch')",Starbucks,plans,switch,Starbucks plans,plans switch,Starbucks plans switch,0.0799999999999983,0.16000000000000014
4,20070118 05:26 PM EST,Forbidden City may close gates on Starbucks,"('City', 'may close', 'gates on Starbucks')",City,may close,gates on Starbucks,City may close,may close gates on Starbucks,City may close gates on Starbucks,0.13500000000000156,-0.259999999999998
5,20070118 12:51 PM EST,"Starbucks may be ""forbidden"" at China Palace Museum","('Starbucks', 'may', 'may forbidden')",Starbucks,may,may forbidden,Starbucks may,may may forbidden,Starbucks may may forbidden,0.13500000000000156,-0.259999999999998
6,20070118 07:36 AM EST,China Forbidden City may close gates on Starbucks,"('China', 'Forbidden', 'City')",China,Forbidden,City,China Forbidden,Forbidden City,China Forbidden City,0.13500000000000156,-0.259999999999998
7,20070125 03:28 PM EST,Starbucks asks appeals court to ban 'Charbucks',"('Starbucks', 'asks', 'appeals court')",Starbucks,asks,appeals court,Starbucks asks,asks appeals court,Starbucks asks appeals court,-0.2550010000000036,-0.4099989999999991
8,20070130 01:05 PM EST,"US STOCKS-Dow, S&P; rise with Exxon; Starbucks helps Nasdaq","('US STOCKS Dow', 'rise with', 'Exxon')",US STOCKS Dow,rise with,Exxon,US STOCKS Dow rise with,rise with Exxon,US STOCKS Dow rise with Exxon,0.5599989999999977,0.0
9,20070130 07:43 AM EST,Starbucks rises after upgrade,"('Starbucks', 'rises after', 'upgrade')",Starbucks,rises after,upgrade,Starbucks rises after,rises after upgrade,Starbucks rises after upgrade,0.5599989999999977,0.0
14,20070208 03:00 AM EST,Starbucks to remove products with trans fats in China,"('trans fats', 'is in', 'China')",trans fats,is in,China,trans fats is in,is in China,trans fats is in China,-0.005001000000000033,-0.125
16,20070215 08:56 AM EST,Africa growers back Ethiopia in row with Starbucks,"('Ethiopia', 'is with', 'Starbucks')",Ethiopia,is with,Starbucks,Ethiopia is with,is with Starbucks,Ethiopia is with Starbucks,0.2950000000000017,-0.059999000000001246
18,20070223 06:46 PM EST,Starbucks chairman warns executives of damage to brand,"('Starbucks chairman', 'warns', 'executives of damage')",Starbucks chairman,warns,executives of damage,Starbucks chairman warns,warns executives of damage,Starbucks chairman warns executives of damage,0.2950000000000017,-0.12999899999999798
19,20070223 06:01 PM EST,UPDATE 1-Starbucks chairman warns execs of damage to brand,"('UPDATE Starbucks chairman', 'warns', 'execs')",UPDATE Starbucks chairman,warns,execs,UPDATE Starbucks chairman warns,warns execs,UPDATE Starbucks chairman warns execs,0.2950000000000017,-0.12999899999999798
20,20070224 01:52 AM EST,Starbucks chairman warns executives of damage to brand,"('Starbucks chairman', 'warns', 'executives of damage')",Starbucks chairman,warns,executives of damage,Starbucks chairman warns,warns executives of damage,Starbucks chairman warns executives of damage,0.2950000000000017,-0.12999899999999798
21,20070225 01:07 PM EST,Starbucks chairman warns executives of damage to brand,"('Starbucks chairman', 'warns', 'executives of damage')",Starbucks chairman,warns,executives of damage,Starbucks chairman warns,warns executives of damage,Starbucks chairman warns executives of damage,-0.20000100000000032,-0.370001000000002
24,20070306 09:45 PM EST,Starbucks memo stirs unwarranted fears: analysts,"('Starbucks memo', 'stirs', 'fears')",Starbucks memo,stirs,fears,Starbucks memo stirs,stirs fears,Starbucks memo stirs fears,0.1399999999999988,0.29499999999999993
29,20070311 10:32 PM EDT,China lawmaker wants Forbidden City free of Starbucks,"('China lawmaker', 'Forbidden', 'City free')",China lawmaker,Forbidden,City free,China lawmaker Forbidden,Forbidden City free,China lawmaker Forbidden City free,-0.26000000000000156,-0.11999999999999922
30,20070311 01:42 AM EST,China lawmaker wants Forbidden City free of Starbucks,"('China lawmaker', 'Forbidden', 'City free')",China lawmaker,Forbidden,City free,China lawmaker Forbidden,Forbidden City free,China lawmaker Forbidden City free,-0.26000000000000156,-0.11999999999999922
31,20070312 11:46 PM EDT,Starbucks forms Hear Music record label,"('Starbucks forms', 'Hear', 'Music record label')",Starbucks forms,Hear,Music record label,Starbucks forms Hear,Hear Music record label,Starbucks forms Hear Music record label,-0.26000000000000156,-0.11999999999999922
32,20070312 07:53 PM EDT,UPDATE 3-Starbucks forms Hear Music record label,"('UPDATE 3 Starbucks forms', 'Hear', 'Music record label')",UPDATE 3 Starbucks forms,Hear,Music record label,UPDATE 3 Starbucks forms Hear,Hear Music record label,UPDATE 3 Starbucks forms Hear Music record label,-0.26000000000000156,-0.11999999999999922
33,20070312 05:52 PM EDT,Starbucks forms Hear Music record label,"('Starbucks forms', 'Hear', 'Music record label')",Starbucks forms,Hear,Music record label,Starbucks forms Hear,Hear Music record label,Starbucks forms Hear Music record label,-0.26000000000000156,-0.11999999999999922
34,20070313 02:15 PM EDT,"UPDATE 1-Starbucks affirms 40,000 total store goal","('UPDATE 1 Starbucks', 'affirms', '40,000 store goal')",UPDATE 1 Starbucks,affirms,"40,000 store goal",UPDATE 1 Starbucks affirms,"affirms 40,000 store goal","UPDATE 1 Starbucks affirms 40,000 store goal",-0.21999999999999886,-0.3550000000000004
35,20070313 08:46 AM EDT,Starbucks forms Hear Music record label,"('Starbucks forms', 'Hear', 'Music record label')",Starbucks forms,Hear,Music record label,Starbucks forms Hear,Hear Music record label,Starbucks forms Hear Music record label,-0.21999999999999886,-0.3550000000000004
36,20070313 04:38 AM EDT,"Starbucks aims for 40,000 new stores","('Starbucks', 'aims for', '40,000 new stores')",Starbucks,aims for,"40,000 new stores",Starbucks aims for,"aims for 40,000 new stores","Starbucks aims for 40,000 new stores",-0.21999999999999886,-0.3550000000000004
37,20070314 05:26 AM EDT,Starbucks delaying Ethiopia trademarks -exporters,"('Starbucks', 'delaying', 'Ethiopia trademarks exporters')",Starbucks,delaying,Ethiopia trademarks exporters,Starbucks delaying,delaying Ethiopia trademarks exporters,Starbucks delaying Ethiopia trademarks exporters,-0.3100000000000005,-0.019999999999999574
38,20070314 04:58 AM EDT,Starbucks forms Hear Music record label,"('Starbucks forms', 'Hear', 'Music record label')",Starbucks forms,Hear,Music record label,Starbucks forms Hear,Hear Music record label,Starbucks forms Hear Music record label,-0.3100000000000005,-0.019999999999999574
39,20070319 05:36 PM EDT,Starbucks investors hope meeting will calm jitters,"('Starbucks investors', 'hope', 'meeting')",Starbucks investors,hope,meeting,Starbucks investors hope,hope meeting,Starbucks investors hope meeting,0.3150000000000013,0.23000000000000043
