Unnamed: 0,time,title,Tuples,s,p,o,sp,po,spo,open price change,close price change
0,20070109 04:13 PM EST,"Visa, Nokia turn mobile phones into mobile wallets","('Nokia', 'turn phones into', 'wallets')",Nokia,turn phones into,wallets,Nokia turn phones into,turn phones into wallets,Nokia turn phones into wallets,0.0,0.0
1,20070115 11:48 AM EST,REFILE-UPDATE 1-EU payments plan at risk if fees scrapped - Visa,"('UPDATE EU payments', 'plan at', 'risk')",UPDATE EU payments,plan at,risk,UPDATE EU payments plan at,plan at risk,UPDATE EU payments plan at risk,0.0,0.0
2,20070115 07:35 AM EST,EU payments plan at risk if fees scrapped - Visa,"('EU payments', 'plan at', 'risk')",EU payments,plan at,risk,EU payments plan at,plan at risk,EU payments plan at risk,0.0,0.0
6,20070219 03:35 PM EST,EU's Kroes underscores plan to investigate Visa,"('plan', 'investigate', 'Visa')",plan,investigate,Visa,plan investigate,investigate Visa,plan investigate Visa,0.0,0.0
7,20070220 05:14 AM EST,EU's Kroes underscores plan to investigate Visa,"('plan', 'investigate', 'Visa')",plan,investigate,Visa,plan investigate,investigate Visa,plan investigate Visa,0.0,0.0
8,20070322 04:38 PM EDT,"Visa policy a tragedy in the making, groups say","('tragedy', 'is in', 'making')",tragedy,is in,making,tragedy is in,is in making,tragedy is in making,0.0,0.0
9,20070329 10:32 AM EDT,"Visa talks up mobile payments, invests in wireless","('Visa', 'talks up', 'payments')",Visa,talks up,payments,Visa talks up,talks up payments,Visa talks up payments,0.0,0.0
10,20070503 08:03 AM EDT,Automatic Data division ADP Employer Services and Visa sign 5 yr agreement to expand adoption of Visa payroll cards,"('Automatic Data division ADP Employer Services 5 yr agreement', 'expand', 'adoption')",Automatic Data division ADP Employer Services 5 yr agreement,expand,adoption,Automatic Data division ADP Employer Services 5 yr agreement expand,expand adoption,Automatic Data division ADP Employer Services 5 yr agreement expand adoption,0.0,0.0
11,20070507 05:37 PM EDT,Visant files with SEC for $500 million notes offering,"('Visant files', 'is with', 'SEC')",Visant files,is with,SEC,Visant files is with,is with SEC,Visant files is with SEC,0.0,0.0
12,20070515 09:09 AM EDT,UPDATE 1-Visa names Saunders CEO in lead-up to IPO,"('UPDATE 1 Visa names', 'is in', 'lead up to IPO')",UPDATE 1 Visa names,is in,lead up to IPO,UPDATE 1 Visa names is in,is in lead up to IPO,UPDATE 1 Visa names is in lead up to IPO,0.0,0.0
13,20070515 07:44 AM EDT,Visa set to name Saunders as CEO: WSJ,"('WSJ', 'name Saunders as', 'CEO')",WSJ,name Saunders as,CEO,WSJ name Saunders as,name Saunders as CEO,WSJ name Saunders as CEO,0.0,0.0
14,20070517 07:33 PM EDT,FACTBOX: Visa changes in U.S. immigration bill,"('Visa', 'changes in', 'U.S. immigration bill')",Visa,changes in,U.S. immigration bill,Visa changes in,changes in U.S. immigration bill,Visa changes in U.S. immigration bill,0.0,0.0
15,20070517 06:10 PM EDT,FACTBOX-Visa changes in U.S. immigration bill,"('FACTBOX Visa changes', 'is in', 'U.S. immigration bill')",FACTBOX Visa changes,is in,U.S. immigration bill,FACTBOX Visa changes is in,is in U.S. immigration bill,FACTBOX Visa changes is in U.S. immigration bill,0.0,0.0
16,20070524 02:58 AM EDT,Citi switching some Visa-branded cards: WSJ,"('Citi', 'switching', 'Visa branded cards')",Citi,switching,Visa branded cards,Citi switching,switching Visa branded cards,Citi switching Visa branded cards,0.0,0.0
17,20070608 08:54 PM EDT,MasterCard wins court ruling against Visa fee,"('MasterCard', 'wins', 'court ruling against Visa fee')",MasterCard,wins,court ruling against Visa fee,MasterCard wins,wins court ruling against Visa fee,MasterCard wins court ruling against Visa fee,0.0,0.0
18,20070608 04:49 PM EDT,MasterCard wins court ruling against Visa fee,"('MasterCard', 'wins', 'court ruling against Visa fee')",MasterCard,wins,court ruling against Visa fee,MasterCard wins,wins court ruling against Visa fee,MasterCard wins court ruling against Visa fee,0.0,0.0
19,20070608 03:02 PM EDT,MasterCard: Court rules Visa's Settlement Service Fee unlawful,"('Visa', 'has', 'Settlement Service Fee')",Visa,has,Settlement Service Fee,Visa has,has Settlement Service Fee,Visa has Settlement Service Fee,0.0,0.0
20,20070608 02:00 PM EDT,MasterCard announces it wins injunction against Visa,"('it', 'wins injunction against', 'Visa')",it,wins injunction against,Visa,it wins injunction against,wins injunction against Visa,it wins injunction against Visa,0.0,0.0
22,20070622 01:16 PM EDT,Visa says to restructure business for IPO,"('Visa', 'restructure', 'business')",Visa,restructure,business,Visa restructure,restructure business,Visa restructure business,0.0,0.0
24,20070626 05:59 PM EDT,"Visa hires president pre-IPO, Visa USA CEO resigns","('Visa', 'hires', 'Visa USA CEO')",Visa,hires,Visa USA CEO,Visa hires,hires Visa USA CEO,Visa hires Visa USA CEO,0.0,0.0
25,20070626 04:52 PM EDT,"Visa hires president pre-IPO, Visa USA CEO resigns","('Visa', 'hires', 'Visa USA CEO')",Visa,hires,Visa USA CEO,Visa hires,hires Visa USA CEO,Visa hires Visa USA CEO,0.0,0.0
26,20070627 11:39 PM EDT,Visa to sponsor 2010 and 2014 soccer world cups,"('2010', 'Visa', '2014 soccer world cups')",N,o,n,N o,o n,N o n,0.0,0.0
27,20070627 10:07 PM EDT,RPT-Visa to sponsor 2010 and 2014 World Cups,"('2010', 'Visa', '2014 World Cups')",N,o,n,N o,o n,N o n,0.0,0.0
28,20070627 10:00 PM EDT,Visa to sponsor 2010 and 2014 World Cups,"('2010', 'Visa', '2014 World Cups')",N,o,n,N o,o n,N o n,0.0,0.0
29,20070702 02:57 PM EDT,GE Money to offer Gap customers a Visa credit card,"('GE Money', 'offer', 'Gap customers')",GE Money,offer,Gap customers,GE Money offer,offer Gap customers,GE Money offer Gap customers,0.0,0.0
30,20070703 08:45 PM EDT,"Visant to explore options, including sale","('Visant', 'explore', 'options')",Visant,explore,options,Visant explore,explore options,Visant explore options,0.0,0.0
31,20070703 10:28 AM EDT,"Visant to explore options, including sale","('Visant', 'explore', 'options')",Visant,explore,options,Visant explore,explore options,Visant explore options,0.0,0.0
32,20070808 05:20 PM EDT,U.S. court denies Visa plea for stay in fees case,"('U.S. court', 'denies', 'Visa plea in fees case')",U.S. court,denies,Visa plea in fees case,U.S. court denies,denies Visa plea in fees case,U.S. court denies Visa plea in fees case,0.0,0.0
33,20070808 01:29 PM EDT,Court denies Visa plea for stay in fees case,"('Court', 'denies', 'Visa plea')",Court,denies,Visa plea,Court denies,denies Visa plea,Court denies Visa plea,0.0,0.0
34,20070809 03:29 AM EDT,U.S. court denies Visa plea for stay in fees case,"('U.S. court', 'denies', 'Visa plea in fees case')",U.S. court,denies,Visa plea in fees case,U.S. court denies,denies Visa plea in fees case,U.S. court denies Visa plea in fees case,0.0,0.0
35,20070913 07:54 PM EDT,Visa wins OK from SEC as it readies IPO,"('it', 'readies', 'IPO')",it,readies,IPO,it readies,readies IPO,it readies IPO,0.0,0.0
36,20070913 05:13 PM EDT,UPDATE 1-Visa wins OK from SEC as it readies IPO,"('it', 'readies', 'IPO')",it,readies,IPO,it readies,readies IPO,it readies IPO,0.0,0.0
37,20070914 12:50 AM EDT,Visa wins OK from SEC as it readies IPO,"('it', 'readies', 'IPO')",it,readies,IPO,it readies,readies IPO,it readies IPO,0.0,0.0
38,20071003 04:55 PM EDT,Visa completes restructuring ahead of IPO,"('Visa', 'completes', 'restructuring ahead of IPO')",Visa,completes,restructuring ahead of IPO,Visa completes,completes restructuring ahead of IPO,Visa completes restructuring ahead of IPO,0.0,0.0
39,20071003 04:55 PM EDT,Four Canadian banks to post unspecified Visa gains,"('Canadian banks', 'post', 'Visa gains')",Canadian banks,post,Visa gains,Canadian banks post,post Visa gains,Canadian banks post Visa gains,0.0,0.0
40,20071003 04:53 PM EDT,UPDATE 2-Four Canadian banks to post unspecified Visa gains,"('UPDATE 2 Four Canadian banks', 'post', 'unspecified Visa gains')",UPDATE 2 Four Canadian banks,post,unspecified Visa gains,UPDATE 2 Four Canadian banks post,post unspecified Visa gains,UPDATE 2 Four Canadian banks post unspecified Visa gains,0.0,0.0
43,20071004 11:12 AM EDT,Mercury Computer's subsidiary Visage Imaging and 3DR Laboratories sign agreement for advanced 3D imaging and visualization solutions,"('Mercury Computer', 'has', 'subsidiary')",Mercury Computer,has,subsidiary,Mercury Computer has,has subsidiary,Mercury Computer has subsidiary,0.0,0.0
44,20071004 04:14 AM EDT,Visa completes restructuring ahead of IPO,"('Visa', 'completes', 'restructuring ahead of IPO')",Visa,completes,restructuring ahead of IPO,Visa completes,completes restructuring ahead of IPO,Visa completes restructuring ahead of IPO,0.0,0.0
45,20071004 03:26 AM EDT,Four Canadian banks to post unspecified Visa gains,"('Canadian banks', 'post', 'Visa gains')",Canadian banks,post,Visa gains,Canadian banks post,post Visa gains,Canadian banks post Visa gains,0.0,0.0
46,20071105 06:01 PM EST,CIBC Says Visa Gain Should Offset Debt Writedown,"('CIBC', 'Says', 'Visa Gain Offset Debt Writedown')",CIBC,Says,Visa Gain Offset Debt Writedown,CIBC Says,Says Visa Gain Offset Debt Writedown,CIBC Says Visa Gain Offset Debt Writedown,0.0,0.0
48,20071106 03:01 AM EST,CIBC Says Visa Gain Should Offset Debt Writedown,"('CIBC', 'Says', 'Visa Gain Offset Debt Writedown')",CIBC,Says,Visa Gain Offset Debt Writedown,CIBC Says,Says Visa Gain Offset Debt Writedown,CIBC Says Visa Gain Offset Debt Writedown,0.0,0.0
