Unnamed: 0,time,title,Tuples,s,p,o,sp,po,spo,open price change,close price change
0,20070719 12:39 AM EDT,Walmart.com to let customers review merchandise,"('customers', 'review', 'merchandise')",customers,review,merchandise,customers review,review merchandise,customers review merchandise,-0.0699989999999957,0.75
1,20070907 03:12 PM EDT,Walmart.com testing line of women's apparel,"('women', 'of', 'apparel')",women,of,apparel,women of,of apparel,women of apparel,-1.0600009999999997,-0.36999899999999997
2,20070910 04:52 AM EDT,Walmart.com testing new line of women's apparel,"('Walmart.com', 'testing', ""line of women 's apparel"")",Walmart.com,testing,line of women 's apparel,Walmart.com testing,testing line of women 's apparel,Walmart.com testing line of women 's apparel,0.15000100000000316,-0.11999899999999286
3,20071012 08:11 AM EDT,"UPDATE 1-RESEARCH ALERT-Jefferies starts Walmart, BJ's with buy","('Walmart', 'BJ with', 'buy')",Walmart,BJ with,buy,Walmart BJ with,BJ with buy,Walmart BJ with buy,-0.3699980000000025,0.15999899999999911
6,20071126 07:00 AM EST,Walmart.com Extends Cyber Monday Into 'Cyber Week' With Five Days of Online-Only...,"('Cyber Week', 'is With', 'Five Days of Online Only')",Cyber Week,is With,Five Days of Online Only,Cyber Week is With,is With Five Days of Online Only,Cyber Week is With Five Days of Online Only,0.7700000000000031,-0.7000010000000003
8,20080502 11:58 AM EDT,Walmart.com using Wii Fit to boost Mom's Day sales,"('Walmart.com', 'using', 'Wii Fit')",Walmart.com,using,Wii Fit,Walmart.com using,using Wii Fit,Walmart.com using Wii Fit,0.6899979999999957,-0.5700000000000003
9,20080514 08:02 AM EDT, The Spice Depot Appoints Former Walmart EVP John Ryan to its Board of Directors and to the Office of President Retail,"('Spice Depot', 'Appoints', 'Former Walmart EVP John Ryan')",Spice Depot,Appoints,Former Walmart EVP John Ryan,Spice Depot Appoints,Appoints Former Walmart EVP John Ryan,Spice Depot Appoints Former Walmart EVP John Ryan,-0.46999699999999933,0.7999989999999997
10,20080514 08:01 AM EDT, The Spice Depot Appoints Former Walmart EVP John Ryan to its Board of Directors and to the Office of President Retail,"('Spice Depot', 'Appoints', 'Former Walmart EVP John Ryan')",Spice Depot,Appoints,Former Walmart EVP John Ryan,Spice Depot Appoints,Appoints Former Walmart EVP John Ryan,Spice Depot Appoints Former Walmart EVP John Ryan,-0.46999699999999933,0.7999989999999997
11,20080527 02:48 PM EDT,ZAGG's invisibleSHIELD(TM) Now Available on Walmart.com,"('ZAGG', 'has', 'invisibleSHIELD')",ZAGG,has,invisibleSHIELD,ZAGG has,has invisibleSHIELD,ZAGG has invisibleSHIELD,-0.08000200000000035,0.6500020000000006
12,20080602 02:03 PM EDT,Walmart.com offering free classified ads,"('Walmart.com', 'offering', 'free ads')",Walmart.com,offering,free ads,Walmart.com offering,offering free ads,Walmart.com offering free ads,-0.5700000000000003,-0.5400010000000037
